Happiness Rank,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
128,Mali,4.39,4.498,4.283,2.061,0.385,1.105,0.308,0.327,0.153,0.052
129,Sierra Leone,4.374,4.51,4.238,2.416,0.268,0.841,0.242,0.309,0.252,0.045
130,Sri Lanka,4.366,4.49,4.242,0.559,0.949,1.265,0.831,0.47,0.244,0.047
131,Myanmar,4.36,4.442,4.279,0.652,0.71,1.181,0.555,0.525,0.566,0.172
132,Chad,4.35,4.484,4.215,2.591,0.35,0.766,0.192,0.174,0.198,0.078
133,Ukraine,4.332,4.43,4.235,1.008,0.82,1.39,0.739,0.178,0.187,0.01
134,Ethiopia,4.286,4.365,4.206,1.731,0.336,1.033,0.532,0.344,0.209,0.1
135,Swaziland,4.212,4.392,4.031,1.73,0.811,1.149,0,0.313,0.074,0.135
136,Uganda,4.189,4.319,4.06,1.677,0.332,1.069,0.443,0.356,0.252,0.06
137,Egypt,4.166,4.252,4.079,1.187,0.913,1.039,0.644,0.241,0.076,0.067
138,Zambia,4.107,4.232,3.981,1.28,0.578,1.058,0.426,0.431,0.247,0.087
139,Togo,4.085,4.197,3.972,2.273,0.275,0.572,0.41,0.293,0.177,0.085
140,India,4.015,4.062,3.968,1.126,0.755,0.765,0.588,0.498,0.2,0.085
141,Liberia,3.975,4.115,3.836,1.902,0.073,0.922,0.443,0.37,0.233,0.033
142,Comoros,3.973,4.196,3.749,1.941,0.274,0.757,0.505,0.142,0.275,0.078
143,Madagascar,3.933,4.033,3.833,1.831,0.274,0.916,0.555,0.148,0.169,0.041
144,Lesotho,3.802,3.963,3.641,1.417,0.489,1.169,0.168,0.359,0.107,0.093
145,Burundi,3.775,3.985,3.565,2.325,0.046,0.447,0.38,0.22,0.176,0.18
146,Zimbabwe,3.663,3.78,3.546,1.149,0.366,1.114,0.433,0.361,0.151,0.089
147,Haiti,3.597,3.751,3.443,1.581,0.323,0.688,0.449,0.026,0.419,0.11
148,Botswana,3.488,3.611,3.365,0.183,1.041,1.145,0.538,0.455,0.025,0.1
149,Syria,3.462,3.664,3.26,1.541,0.619,0.378,0.44,0.013,0.331,0.141
150,Malawi,3.41,3.525,3.294,1.413,0.191,0.56,0.495,0.443,0.218,0.089
151,Yemen,3.38,3.479,3.281,1.139,0.287,1.163,0.463,0.143,0.108,0.077
152,Rwanda,3.334,3.425,3.242,0.467,0.359,0.711,0.614,0.555,0.217,0.411
153,Tanzania,3.231,3.347,3.114,0.531,0.476,0.885,0.499,0.417,0.276,0.147
154,Afghanistan,3.203,3.278,3.129,1.793,0.35,0.517,0.361,0,0.158,0.025
155,Central African Republic,3.083,3.227,2.939,2.456,0.026,0,0.105,0.225,0.235,0.035
156,South Sudan,2.853,3.005,2.701,1.374,0.306,0.575,0.295,0.01,0.202,0.091
